"subjectID","wave","task","run","nVols","percent"
"TAG067",1,"SVC",1,2,1.1
"TAG067",1,"SVC",2,2,1.1
"TAG068",1,"DSD",1,0,0
"TAG068",1,"DSD",2,1,0.4
"TAG068",1,"rest",1,0,0
"TAG068",1,"rest",2,0,0
"TAG068",1,"SVC",1,1,0.6
"TAG068",1,"SVC",2,0,0
"TAG069",1,"DSD",1,0,0
"TAG069",1,"DSD",2,0,0
"TAG069",1,"rest",1,0,0
"TAG069",1,"rest",2,0,0
"TAG069",1,"SVC",1,0,0
"TAG069",1,"SVC",2,1,0.6
"TAG070",1,"DSD",1,3,1.3
"TAG070",1,"DSD",2,12,5.3
"TAG070",1,"rest",1,0,0
"TAG070",1,"rest",2,0,0
"TAG070",1,"SVC",1,0,0
"TAG070",1,"SVC",2,0,0
"TAG071",1,"DSD",1,21,9.3
"TAG071",1,"DSD",2,28,12.4
"TAG071",1,"rest",1,0,0
"TAG071",1,"rest",2,5,1.9
"TAG071",1,"SVC",1,1,0.6
"TAG071",1,"SVC",2,26,14.4
"TAG072",1,"DSD",1,4,1.8
"TAG072",1,"DSD",2,9,4
"TAG072",1,"rest",1,0,0
"TAG072",1,"rest",2,0,0
"TAG072",1,"SVC",1,0,0
"TAG072",1,"SVC",2,1,0.6
"TAG074",1,"DSD",1,0,0
"TAG074",1,"DSD",2,9,4
"TAG074",1,"rest",1,0,0
"TAG074",1,"rest",2,0,0
"TAG074",1,"SVC",1,0,0
"TAG074",1,"SVC",2,0,0
"TAG075",1,"DSD",1,0,0
"TAG075",1,"DSD",2,6,2.7
"TAG075",1,"rest",1,0,0
"TAG075",1,"rest",2,0,0
"TAG075",1,"SVC",1,0,0
"TAG075",1,"SVC",2,2,1.1
"TAG076",1,"DSD",1,15,6.7
"TAG076",1,"DSD",2,33,14.7
"TAG076",1,"rest",1,0,0
"TAG076",1,"rest",2,3,1.1
"TAG076",1,"SVC",1,0,0
"TAG076",1,"SVC",2,18,10
"TAG077",1,"DSD",1,22,9.8
"TAG077",1,"DSD",2,44,19.6
"TAG077",1,"rest",1,0,0
"TAG077",1,"rest",2,0,0
"TAG077",1,"SVC",1,24,13.3
"TAG077",1,"SVC",2,17,9.4
"TAG078",1,"DSD",1,15,6.7
"TAG078",1,"DSD",2,14,6.2
"TAG078",1,"rest",1,21,7.8
"TAG078",1,"rest",2,5,1.9
"TAG078",1,"SVC",1,21,11.7
"TAG078",1,"SVC",2,24,13.3
"TAG080",1,"DSD",1,0,0
"TAG080",1,"DSD",2,0,0
"TAG080",1,"rest",1,0,0
"TAG080",1,"rest",2,1,0.4
"TAG080",1,"SVC",1,3,1.7
"TAG080",1,"SVC",2,2,1.1
"TAG081",1,"DSD",1,1,0.4
"TAG081",1,"DSD",2,0,0
"TAG081",1,"rest",1,0,0
"TAG081",1,"rest",2,2,0.7
"TAG081",1,"SVC",1,0,0
"TAG081",1,"SVC",2,2,1.1
"TAG083",1,"rest",1,29,7.3
"TAG083",1,"rest",2,48,12.2
"TAG083",1,"SVC",1,37,20.6
"TAG083",1,"SVC",2,39,21.7
"TAG084",1,"DSD",1,31,13.8
"TAG084",1,"DSD",2,36,16
"TAG084",1,"rest",1,3,1.1
"TAG084",1,"rest",2,7,2.6
"TAG084",1,"SVC",1,17,9.4
"TAG084",1,"SVC",2,19,10.6
"TAG085",1,"DSD",1,0,0
"TAG085",1,"DSD",2,0,0
"TAG085",1,"rest",1,0,0
"TAG085",1,"rest",2,0,0
"TAG085",1,"SVC",1,0,0
"TAG085",1,"SVC",2,0,0
"TAG086",1,"DSD",1,7,3.1
"TAG086",1,"DSD",2,17,7.6
"TAG086",1,"rest",1,2,0.7
"TAG086",1,"rest",2,0,0
"TAG086",1,"SVC",1,0,0
"TAG086",1,"SVC",2,10,5.6
"TAG087",1,"DSD",1,0,0
"TAG087",1,"DSD",2,1,0.4
"TAG087",1,"rest",1,0,0
"TAG087",1,"rest",2,0,0
"TAG087",1,"SVC",1,0,0
"TAG087",1,"SVC",2,0,0
"TAG088",1,"DSD",1,7,3.1
"TAG088",1,"DSD",2,15,6.7
"TAG088",1,"rest",1,0,0
"TAG088",1,"rest",2,2,0.7
"TAG088",1,"SVC",1,3,1.7
"TAG088",1,"SVC",2,8,4.4
"TAG089",1,"DSD",1,31,13.8
"TAG089",1,"DSD",2,44,19.6
"TAG089",1,"rest",1,1,0.4
"TAG089",1,"rest",2,8,3
"TAG089",1,"SVC",1,19,10.6
"TAG089",1,"SVC",2,33,18.3
"TAG090",1,"DSD",1,3,1.3
"TAG090",1,"DSD",2,2,0.9
"TAG090",1,"rest",1,0,0
"TAG090",1,"rest",2,0,0
"TAG090",1,"SVC",1,2,1.1
"TAG090",1,"SVC",2,3,1.7
"TAG091",1,"DSD",1,1,0.4
"TAG091",1,"DSD",2,0,0
"TAG091",1,"rest",1,0,0
"TAG091",1,"rest",2,0,0
"TAG091",1,"SVC",1,1,0.6
"TAG091",1,"SVC",2,0,0
"TAG094",1,"DSD",1,1,0.4
"TAG094",1,"DSD",2,5,2.2
"TAG094",1,"rest",1,0,0
"TAG094",1,"rest",2,0,0
"TAG094",1,"SVC",1,0,0
"TAG094",1,"SVC",2,3,1.7
"TAG095",1,"DSD",1,9,4
"TAG095",1,"DSD",2,11,4.9
"TAG095",1,"rest",1,0,0
"TAG095",1,"rest",2,0,0
"TAG095",1,"SVC",1,0,0
"TAG095",1,"SVC",2,2,1.1
"TAG099",1,"DSD",1,7,3.1
"TAG099",1,"DSD",2,26,11.6
"TAG099",1,"rest",1,24,8.9
"TAG099",1,"rest",2,0,0
"TAG099",1,"SVC",1,57,31.7
"TAG099",1,"SVC",2,35,19.4
"TAG100",1,"DSD",1,22,9.8
"TAG100",1,"DSD",2,20,8.9
"TAG100",1,"rest",1,0,0
"TAG100",1,"rest",2,0,0
"TAG100",1,"SVC",1,0,0
"TAG100",1,"SVC",2,4,2.2
"TAG101",1,"DSD",1,0,0
"TAG101",1,"DSD",2,2,0.9
"TAG101",1,"rest",1,0,0
"TAG101",1,"rest",2,0,0
"TAG101",1,"SVC",1,0,0
"TAG101",1,"SVC",2,0,0
"TAG102",1,"DSD",1,2,0.9
"TAG102",1,"DSD",2,3,1.3
"TAG102",1,"rest",1,0,0
"TAG102",1,"rest",2,0,0
"TAG102",1,"SVC",1,0,0
"TAG102",1,"SVC",2,0,0
"TAG103",1,"DSD",1,6,2.7
"TAG103",1,"DSD",2,1,0.4
"TAG103",1,"rest",1,0,0
"TAG103",1,"rest",2,0,0
"TAG103",1,"SVC",1,0,0
"TAG103",1,"SVC",2,0,0
"TAG104",1,"DSD",1,4,1.8
"TAG104",1,"DSD",2,12,5.3
"TAG104",1,"rest",1,0,0
"TAG104",1,"rest",2,0,0
"TAG104",1,"SVC",1,15,8.3
"TAG104",1,"SVC",2,12,6.7
"TAG105",1,"DSD",1,21,10.5
"TAG105",1,"DSD",2,62,31.2
"TAG105",1,"rest",1,1,0.4
"TAG105",1,"rest",2,0,0
"TAG105",1,"SVC",1,17,9.4
"TAG105",1,"SVC",2,6,3.3
"TAG106",1,"DSD",1,18,8
"TAG106",1,"DSD",2,37,16.4
"TAG106",1,"rest",1,1,0.4
"TAG106",1,"rest",2,1,0.4
"TAG106",1,"SVC",1,8,4.4
"TAG106",1,"SVC",2,10,5.6
"TAG107",1,"DSD",1,3,1.3
"TAG107",1,"DSD",2,48,21.3
"TAG107",1,"rest",1,0,0
"TAG107",1,"rest",2,0,0
"TAG107",1,"SVC",1,0,0
