"subjectID","wave","task","nVols","percent"
"TAG186",1,"rest",13,2.4
"TAG186",1,"SVC",42,11.7
"TAG188",1,"DSD",7,3.1
"TAG188",1,"rest",5,1.3
"TAG188",1,"SVC",98,27.2
"TAG190",1,"DSD",172,38.2
"TAG190",1,"rest",19,3.5
"TAG190",1,"SVC",26,7.2
"TAG192",1,"DSD",183,40.7
"TAG192",1,"rest",19,3.5
"TAG192",1,"SVC",64,17.8
"TAG194",1,"DSD",4,1.8
"TAG194",1,"rest",7,1.3
"TAG194",1,"SVC",4,1.1
"TAG200",1,"DSD",27,6
"TAG200",1,"rest",6,0.8
"TAG200",1,"SVC",6,1.7
"TAG202",1,"DSD",11,2.5
"TAG202",1,"rest",0,0
"TAG202",1,"SVC",9,2.5
"TAG203",1,"DSD",17,3.8
"TAG203",1,"rest",6,0.8
"TAG203",1,"SVC",9,2.5
"TAG206",1,"DSD",49,10.9
"TAG206",1,"rest",0,0
"TAG206",1,"SVC",2,0.6
"TAG207",1,"DSD",9,2
"TAG207",1,"rest",2,0.4
"TAG207",1,"SVC",3,0.8
"TAG208",1,"DSD",4,0.9
"TAG208",1,"rest",0,0
"TAG208",1,"SVC",0,0
"TAG209",1,"DSD",0,0
"TAG209",1,"rest",0,0
"TAG209",1,"SVC",0,0
"TAG210",1,"DSD",4,1.1
"TAG210",1,"rest",0,0
"TAG210",1,"SVC",0,0
"TAG211",1,"DSD",15,3.3
"TAG211",1,"rest",1,0.2
"TAG211",1,"SVC",13,3.6
"TAG215",1,"DSD",14,3.1
"TAG215",1,"rest",0,0
"TAG215",1,"SVC",0,0
"TAG218",1,"DSD",0,0
"TAG218",1,"rest",0,0
"TAG218",1,"SVC",0,0
"TAG220",1,"DSD",4,0.9
"TAG220",1,"rest",0,0
"TAG220",1,"SVC",0,0
"TAG221",1,"DSD",35,7.8
"TAG221",1,"rest",2,0.4
"TAG221",1,"SVC",24,6.7
"TAG223",1,"DSD",0,0
"TAG223",1,"rest",0,0
"TAG223",1,"SVC",0,0
"TAG224",1,"DSD",3,0.7
"TAG224",1,"rest",0,0
"TAG224",1,"SVC",14,3.9
